Rk,Player,From,To,School,G,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Passing Int,Passing Rate
1,Dan Lefevour,2006,2009,Central Michigan,3,74,103,71.8,754,6,4,144.8
2,Byron Leftwich,2000,2002,Marshall,2,61,87,70.1,762,6,1,164.1
3,Deshaun Watson,2015,2016,Clemson,2,49,76,64.5,577,6,2,149.0
4,Sam Bradford,2007,2008,Oklahoma,2,52,75,69.3,593,4,0,153.3
5,Connor Cook,2013,2015,Michigan State,2,40,72,55.6,495,3,2,121.5
6,Matt Johnson,2013,2015,Bowling Green State,2,46,64,71.9,628,7,2,184.1
7,Jameis Winston,2013,2014,Florida State,2,40,62,64.5,639,6,2,176.6
8,Patrick Pinkney,2008,2009,East Carolina,2,31,58,53.4,384,2,0,120.4
9,Jake Browning,2016,2018,Washington,2,30,57,52.6,305,2,1,105.6
10,Derek Carr,2013,2013,Fresno State,1,36,53,67.9,404,3,2,143.1
11,Tyrod Taylor,2007,2010,Virginia Tech,3,32,53,60.4,375,3,1,134.7
12,Brandon Doughty,2015,2015,Western Kentucky,1,34,52,65.4,410,3,1,146.8
13,Kevin Hogan,2012,2015,Stanford,3,37,52,71.2,576,3,0,183.2
14,Luke Getsy,2005,2005,Akron,1,30,50,60.0,413,1,1,132.0
15,Austin Boucher,2010,2010,Miami (OH),1,29,46,63.0,333,1,0,131.0
16,Rakeem Cato,2014,2014,Marshall,1,25,46,54.3,308,2,1,120.6
17,Josh Heupel,2000,2000,Oklahoma,1,24,44,54.5,220,2,3,97.9
18,Dwayne Haskins,2018,2018,Ohio State,1,34,41,82.9,499,5,1,220.5
19,Landry Jones,2010,2010,Oklahoma,1,23,41,56.1,342,1,1,129.3
20,McKenzie Milton,2017,2017,Central Florida,1,28,40,70.0,494,5,3,200.0
21,Marcus Mariota,2014,2014,Oregon,1,25,38,65.8,313,2,0,152.3
22,Matt Mauck,2001,2003,Louisiana State,2,19,37,51.4,218,1,1,104.4
23,Logan Woodside,2017,2017,Toledo,1,23,37,62.2,307,4,2,156.7
24,Colt McCoy,2009,2009,Texas,1,20,36,55.6,184,0,3,81.8
25,Darron Thomas,2011,2011,Oregon,1,20,36,55.6,219,3,1,128.6
26,Jason Campbell,2004,2004,Auburn,1,27,35,77.1,374,3,1,189.5
27,Ben Roethlisberger,2003,2003,Miami (OH),1,26,35,74.3,440,4,0,217.6
28,Drew Weatherford,2005,2005,Florida State,1,21,35,60.0,225,1,0,123.4
29,Jordan Lynch,2011,2012,Northern Illinois,2,19,34,55.9,212,1,1,112.1
30,Paul Thompson,2006,2006,Oklahoma,1,19,34,55.9,265,2,1,134.9
31,Marcus Childers,2018,2018,Northern Illinois,1,21,33,63.6,300,4,1,173.9
32,Austin Davis,2011,2011,Southern Mississippi,1,17,33,51.5,279,4,1,156.5
33,Marcus McMaryion,2018,2018,Fresno State,1,20,32,62.5,170,1,0,117.4
34,Kevin Kolb,2006,2006,Houston,1,19,31,61.3,258,2,0,152.5
35,Trace McSorley,2016,2016,Penn State,1,22,31,71.0,384,4,0,217.6
36,Zach Terrell,2016,2016,Western Michigan,1,19,31,61.3,290,2,2,148.3
37,Mike White,2016,2016,Western Kentucky,1,21,31,67.7,421,3,1,207.3
38,Chris Leak,2006,2006,Florida,1,16,30,53.3,189,1,2,103.9
39,Ryan Perrilloux,2007,2007,Louisiana State,1,20,30,66.7,243,1,1,139.0
40,Brett Rypien,2017,2017,Boise State,1,16,30,53.3,246,0,0,122.2
41,Tajh Boyd,2011,2011,Clemson,1,20,29,69.0,240,3,0,172.6
42,Kelly Bryant,2017,2017,Clemson,1,23,29,79.3,252,1,0,163.7
43,David Greene,2002,2002,Georgia,1,17,29,58.6,237,1,0,138.6
44,Jalen Hurts,2016,2018,Alabama,2,18,29,62.1,220,2,0,148.6
45,Jason White,2004,2004,Oklahoma,1,22,29,75.9,254,3,2,169.8
46,Cam Newton,2010,2010,Auburn,1,17,28,60.7,335,4,0,208.4
47,Drew Willy,2008,2008,Buffalo,1,19,28,67.9,206,3,0,165.0
48,Christian Chapman,2015,2016,San Diego State,2,15,27,55.6,288,1,1,150.0
49,Jason Driskel,2017,2017,Florida Atlantic,1,15,27,55.6,269,1,0,151.5
50,Sean Glennon,2007,2007,Virginia Tech,1,18,27,66.7,174,3,1,150.1
51,Darriel Mack Jr.,2018,2018,Central Florida,1,19,27,70.4,348,2,0,203.1
52,Blake Sims,2014,2014,Alabama,1,23,27,85.2,262,2,0,191.1
53,J.T. Barrett,2017,2017,Ohio State,1,12,26,46.2,211,2,2,124.3
54,Jake Coker,2015,2015,Alabama,1,18,26,69.2,204,2,0,160.5
55,Rex Grossman,2000,2000,Florida,1,17,26,65.4,238,4,1,185.4
56,Chandler Harnish,2011,2011,Northern Illinois,1,16,26,61.5,250,3,1,172.7
57,Tavares Bolden,2001,2001,Toledo,1,16,25,64.0,175,1,0,136.0
58,Cody Green,2012,2012,Tulsa,1,14,25,56.0,153,1,1,112.6
59,Nate Hybl,2002,2002,Oklahoma,1,14,25,56.0,114,2,0,120.7
60,Riley Skinner,2006,2006,Wake Forest,1,14,25,56.0,201,0,0,123.5
Rk,Player,From,To,School,G,Cmp,Att,Pct,Yds,TD,Int,Rate
61,Tua Tagovailoa,2018,2018,Alabama,1,10,25,40.0,164,1,2,92.3
62,P.J. Walker,2016,2016,Temple,1,16,25,64.0,199,2,0,157.3
63,Sam Darnold,2017,2017,Southern California,1,17,24,70.8,325,2,0,212.1
64,Bruce Gradkowski,2004,2004,Toledo,1,18,24,75.0,251,4,1,209.5
65,Trevor Lawrence,2018,2018,Clemson,1,12,24,50.0,118,2,0,118.8
66,Russell Wilson,2011,2011,Wisconsin,1,17,24,70.8,187,3,0,177.5
67,Baker Mayfield,2017,2017,Oklahoma,1,15,23,65.2,243,4,0,211.4
68,Jake Fromm,2017,2017,Georgia,1,16,22,72.7,183,2,0,172.6
69,Tim Tebow,2006,2008,Florida,2,14,22,63.6,216,3,0,191.1
70,E.J. Manuel,2012,2012,Florida State,1,16,21,76.2,134,0,1,120.3
71,A.J. McCarron,2012,2012,Alabama,1,13,21,61.9,162,1,1,132.9
72,Greg Ward Jr.,2015,2015,Houston,1,11,21,52.4,88,0,0,87.6
73,Rohan Davey,2001,2001,Louisiana State,1,9,20,45.0,84,0,0,80.3
74,Paul Smith,2005,2005,Tulsa,1,13,20,65.0,205,2,0,184.1
75,Jeff Godfrey,2010,2010,Central Florida,1,15,19,78.9,167,1,0,170.1
76,Greg McElroy,2009,2009,Alabama,1,12,18,66.7,239,1,0,196.5
77,Bobby Pesavento,2001,2001,Colorado,1,8,18,44.4,111,1,1,103.5
78,Cardale Jones,2014,2014,Ohio State,1,12,17,70.6,257,3,0,255.8
79,Ell Roberson,2003,2003,Kansas State,1,10,17,58.8,227,4,0,248.6
80,Vince Young,2005,2005,Texas,1,14,17,82.4,193,3,1,224.2
