Rk,Player,From,To,School,G,Passing Cmp,Passing Att,Passing Pct,Passing Yds,Passing TD,Passing Int,Passing Rate
1,Case Keenum,2007,2011,Houston,57,1546,2229,69.4,19217,155,46,160.6
2,Kellen Moore,2008,2011,Boise State,53,1157,1658,69.8,14667,142,28,169.0
3,Graham Harrell,2005,2008,Texas Tech,45,1403,2010,69.8,15793,134,34,154.4
4,Colt Brennan,2005,2007,Hawaii,38,1115,1584,70.4,14193,131,42,167.6
5,Rakeem Cato,2011,2014,Marshall,53,1153,1838,62.7,14079,131,44,145.8
6,Baker Mayfield,2013,2017,,48,1026,1497,68.5,14607,131,30,175.4
7,Landry Jones,2009,2012,Oklahoma,52,1388,2183,63.6,16646,123,52,141.5
8,Aaron Murray,2010,2013,Georgia,52,921,1478,62.3,13166,121,41,158.6
9,Luke Falk,2014,2017,Washington State,42,1403,2054,68.3,14481,119,39,142.8
10,Timmy Chang,2000,2004,Hawaii,53,1388,2436,57.0,17072,117,80,125.1
11,Matt Barkley,2009,2012,Southern California,47,1001,1562,64.1,12327,116,48,148.7
12,Derek Carr,2009,2013,Fresno State,43,1087,1630,66.7,12843,113,24,152.8
13,Colt McCoy,2006,2009,Texas,53,1157,1645,70.3,13253,112,45,155.0
14,Brandon Doughty,2011,2015,Western Kentucky,43,1023,1491,68.6,12855,111,34,161.0
15,Russell Wilson,2008,2011,,50,907,1489,60.9,11720,109,30,147.2
16,Tajh Boyd,2010,2013,Clemson,47,901,1402,64.3,11904,107,39,155.2
17,Brent Stockstill,2014,2018,Middle Tennessee State,45,1054,1609,65.5,12483,106,35,148.1
18,Marcus Mariota,2012,2014,Oregon,41,779,1167,66.8,10796,105,14,171.8
19,J.T. Barrett,2014,2017,Ohio State,50,769,1211,63.5,9434,104,30,152.3
20,Dan Lefevour,2006,2009,Central Michigan,53,1171,1763,66.4,12905,102,36,142.9
Rk,Player,From,To,School,G,Cmp,Att,Pct,Yds,TD,Int,Rate
21,Chase Daniel,2005,2008,Missouri,51,1094,1609,68.0,12515,101,41,148.9
22,Chase Clement,2005,2008,Rice,44,832,1387,60.0,9785,99,34,137.9
