Rk,Player,From,To,Draft,Tm,Lg,Games G,Games GS,Passing Cmp,Passing Att,Passing Cmp%,Passing Yds,Passing TD,Passing Int,Passing Pick6,Passing TD%,Passing Int%,Passing Rate,Passing Sk,Passing Yds2,Passing Sk%,Passing Y/A,Passing AY/A,Passing ANY/A,Passing Y/G,Passing W,Passing L,Passing T,Passing 4QC,Passing GWD
1,Drew Brees,2001,2019,2-32,TOT,NFL,275,274,6867,10161,67.58,77416,547,237,27,5.4,2.33,98.4,407,2902,3.9%,7.62,7.65,7.08,281.5,163,111,0,35,50
2,Tom Brady,2000,2019,6-199,NWE,NFL,285,283,6377,9988,63.85,74571,541,179,14,5.4,1.79,97.0,500,3129,4.8%,7.47,7.74,7.08,261.7,219,64,0,36,45
3,Peyton Manning,1998,2015,1-1,TOT,NFL,266,265,6125,9380,65.30,71940,539,251,27,5.7,2.68,96.5,303,1953,3.1%,7.67,7.61,7.17,270.5,186,79,0,43,54
4,Brett Favre,1991,2010,2-33,TOT,NFL,302,298,6300,10169,61.95,71838,508,336,32,5,3.30,86.0,525,3487,4.9%,7.06,6.58,5.93,237.9,186,112,0,28,43
5,Philip Rivers,2004,2019,1-4,SDG,NFL,228,224,4908,7591,64.66,59271,397,198,24,5.2,2.61,95.1,445,2714,5.5%,7.81,7.68,6.92,260.0,123,101,0,27,32
6,Eli Manning,2004,2019,1-1,NYG,NFL,236,234,4895,8119,60.29,57023,366,244,22,4.5,3.01,84.1,411,2870,4.8%,7.02,6.57,5.92,241.6,117,117,0,27,37
7,Ben Roethlisberger,2004,2019,1-11,PIT,NFL,218,216,4651,7230,64.33,56545,363,191,16,5,2.64,94.0,503,3320,6.5%,7.82,7.64,6.71,259.4,144,71,1,31,42
8,Matt Ryan,2008,2019,1-3,ATL,NFL,189,189,4460,6817,65.42,51186,321,147,17,4.7,2.16,94.6,369,2446,5.1%,7.51,7.48,6.76,270.8,109,80,0,30,38
9,Aaron Rodgers,2005,2019,1-24,GNB,NFL,181,174,3913,6061,64.56,46946,364,84,2,6,1.39,102.4,448,2968,6.9%,7.75,8.32,7.29,259.4,113,60,1,16,23
10,Carson Palmer,2004,2017,1-1,TOT,NFL,182,181,3941,6307,62.49,46247,294,187,22,4.7,2.96,87.9,340,2364,5.1%,7.33,6.93,6.22,254.1,92,88,1,22,35
